event_date,country_id,network_id,client_id,value_usd
2022-01-01,1,10,71,4.679999828338623
2022-01-01,1,10,94,223.4399971961975
2022-01-01,1,10,104,0.800000011920929
2022-01-01,1,10,121,4.869999945163727
2022-01-01,1,10,174,1.2999999523162842
2022-01-01,1,10,189,1.4500000476837158
2022-01-01,1,60,71,9.229999542236328
2022-01-01,1,60,94,127.42800188064577
2022-01-01,1,60,104,4.337999939918518
2022-01-01,1,60,121,26.879999935626984
2022-01-01,1,60,152,139.72499823570251
2022-01-01,1,60,174,144.7919965684414
2022-01-01,1,60,183,1.3919999599456787
2022-01-01,1,60,184,0.7540000081062317
2022-01-01,1,60,189,14.307999849319458
2022-01-01,1,60,219,4.953999996185303
2022-01-01,17,10,71,0.8600000143051147
2022-01-01,17,10,95,2.0
2022-01-01,17,10,104,1.0
2022-01-01,109,10,73,1.2999999523162842
2022-01-01,109,10,104,3.759999990463257
2022-01-01,109,10,174,12.919999837875366
2022-01-01,109,60,73,0.1000000014901161
2022-01-01,109,60,95,0.2000000029802322
2022-01-01,109,60,97,0.7409999817609787
2022-01-01,109,60,121,7.206000119447708
2022-01-01,109,60,174,34.468999706208706
2022-01-01,109,60,184,2.4140000343322754
2022-01-01,109,60,189,1.2349999994039536
2022-01-01,109,60,219,0.1000000014901161
2022-01-01,213,60,184,2.6540000438690186
2022-01-01,213,60,189,2.0
2022-01-01,213,60,219,3.200000047683716
2022-01-02,1,10,71,1.559999942779541
2022-01-02,1,10,94,291.8399963378906
2022-01-02,1,10,98,0.800000011920929
2022-01-02,1,10,121,4.039999961853027
2022-01-02,1,10,174,1.2999999523162842
2022-01-02,1,10,189,2.359999895095825
2022-01-02,1,60,71,20.671000003814697
2022-01-02,1,60,94,174.27800273895264
2022-01-02,1,60,95,1.5
2022-01-02,1,60,97,0.6320000290870667
2022-01-02,1,60,104,9.7739999294281
2022-01-02,1,60,121,62.69399976730347
2022-01-02,1,60,152,191.7889974117279
2022-01-02,1,60,174,197.9189948439598
2022-01-02,1,60,183,2.7839999198913574
2022-01-02,1,60,184,0.3770000040531158
2022-01-02,1,60,189,17.113999843597412
2022-01-02,1,60,219,4.953999996185303
2022-01-02,17,10,71,0.8600000143051147
2022-01-02,17,60,71,1.60999995470047
2022-01-02,109,10,71,1.5000000596046448
2022-01-02,109,10,73,1.2999999523162842
2022-01-02,109,10,104,5.639999985694885
2022-01-02,109,10,121,0.3199999928474426
2022-01-02,109,10,174,18.239999771118164
2022-01-02,109,60,71,0.6000000238418579
2022-01-02,109,60,94,0.5059999972581863
2022-01-02,109,60,95,0.2000000029802322
2022-01-02,109,60,97,1.2349999696016312
2022-01-02,109,60,121,14.164000242948532
2022-01-02,109,60,174,46.721999637782574
2022-01-02,109,60,184,0.1689999997615814
2022-01-02,109,60,189,3.694999992847442
2022-01-02,109,60,219,1.0000000149011612
2022-01-02,213,60,184,2.736000061035156
2022-01-02,213,60,189,1.0
2022-01-02,213,60,219,0.6000000089406967
2022-01-03,1,10,71,1.559999942779541
2022-01-03,1,10,94,232.5599970817566
2022-01-03,1,10,104,1.600000023841858
2022-01-03,1,10,121,2.0199999809265137
2022-01-03,1,10,152,0.6899999976158142
2022-01-03,1,10,174,1.2999999523162842
2022-01-03,1,10,189,4.71999979019165
2022-01-03,1,60,71,12.900999546051024
2022-01-03,1,60,73,0.5400000214576721
2022-01-03,1,60,94,161.78600406646729
2022-01-03,1,60,95,1.5
2022-01-03,1,60,97,2.0040000677108765
2022-01-03,1,60,104,14.70200002193451
2022-01-03,1,60,121,45.8549993634224
2022-01-03,1,60,152,32.91099953651428
2022-01-03,1,60,154,0.6980000138282776
2022-01-03,1,60,174,149.0659962296486
2022-01-03,1,60,183,2.7839999198913574
2022-01-03,1,60,184,2.94500008225441
2022-01-03,1,60,189,25.745999693870544
2022-01-03,1,60,219,4.900000095367432
2022-01-03,17,10,174,2.0
2022-01-03,17,60,71,0.6549999713897705
2022-01-03,17,60,189,1.0
2022-01-03,17,60,219,0.800000011920929
2022-01-03,109,10,71,0.9000000357627869
2022-01-03,109,10,73,0.5199999809265137
2022-01-03,109,10,104,7.049999982118607
2022-01-03,109,10,121,0.3199999928474426
2022-01-03,109,10,174,15.959999799728394
2022-01-03,109,10,189,0.2399999946355819
2022-01-03,109,60,73,0.2000000029802322
2022-01-03,109,60,94,0.596000000834465
2022-01-03,109,60,97,1.7289999574422836
2022-01-03,109,60,121,10.201000183820724
2022-01-03,109,60,154,0.1299999952316284
2022-01-03,109,60,174,47.42599963396788
2022-01-03,109,60,184,6.924000084400177
2022-01-03,109,60,189,1.9399999976158144
2022-01-03,109,60,219,0.5000000074505806
2022-01-03,213,60,184,1.803000032901764
2022-01-03,213,60,219,1.9000000283122065
2022-01-04,1,10,71,4.679999828338623
2022-01-04,1,10,94,168.71999788284302
2022-01-04,1,10,104,0.800000011920929
2022-01-04,1,10,174,1.2999999523162842
2022-01-04,1,10,189,3.539999842643738
2022-01-04,1,60,71,12.900999546051024
2022-01-04,1,60,73,0.5400000214576721
2022-01-04,1,60,94,193.6930031776428
2022-01-04,1,60,95,3.0
2022-01-04,1,60,97,2.636000096797943
2022-01-04,1,60,104,21.075999975204468
2022-01-04,1,60,121,34.531999588012695
2022-01-04,1,60,152,3.378999948501587
2022-01-04,1,60,154,0.6980000138282776
2022-01-04,1,60,174,171.78499549627304
2022-01-04,1,60,184,3.694000095129013
2022-01-04,1,60,189,24.068999648094177
2022-01-04,1,60,219,11.15400004386902
2022-01-04,17,10,104,1.0
2022-01-04,17,60,71,0.9549999833106996
2022-01-04,17,60,174,1.0
2022-01-04,109,10,71,0.9000000357627869
2022-01-04,109,10,73,1.0399999618530271
2022-01-04,109,10,97,0.2300000041723251
2022-01-04,109,10,104,7.049999982118607
2022-01-04,109,10,174,12.919999837875366
2022-01-04,109,10,184,0.2000000029802322
2022-01-04,109,60,71,0.6000000238418579
2022-01-04,109,60,94,0.6509999930858612
2022-01-04,109,60,95,0.2000000029802322
2022-01-04,109,60,97,1.2349999696016312
2022-01-04,109,60,121,12.507000058889387
2022-01-04,109,60,174,38.5779997035861
2022-01-04,109,60,184,1.7480000257492063
2022-01-04,109,60,189,1.9399999976158144
2022-01-04,109,60,219,0.6000000089406967
2022-01-04,213,60,184,2.475000023841858
2022-01-04,213,60,219,0.9000000134110451
2022-01-05,1,10,94,227.99999713897705
2022-01-05,1,10,104,0.800000011920929
2022-01-05,1,10,121,2.0199999809265137
2022-01-05,1,10,174,1.2999999523162842
2022-01-05,1,60,71,15.500999450683594
2022-01-05,1,60,94,150.74300241470337
2022-01-05,1,60,95,3.0
2022-01-05,1,60,97,0.6320000290870667
2022-01-05,1,60,104,11.21999990940094
2022-01-05,1,60,121,29.243999660015103
2022-01-05,1,60,122,1.2000000476837158
2022-01-05,1,60,152,3.378999948501587
2022-01-05,1,60,154,0.6980000138282776
2022-01-05,1,60,174,150.45299646258354
2022-01-05,1,60,183,1.3919999599456787
2022-01-05,1,60,184,3.389000117778778
2022-01-05,1,60,189,23.85799992084503
2022-01-05,1,60,219,10.228000044822693
2022-01-05,17,10,71,1.7200000286102295
2022-01-05,17,10,73,0.5400000214576721
2022-01-05,109,10,71,1.8000000715255735
2022-01-05,109,10,73,1.8199999332427976
2022-01-05,109,10,104,7.989999979734421
2022-01-05,109,10,121,0.3199999928474426
2022-01-05,109,10,174,19.75999975204468
2022-01-05,109,60,71,0.6000000238418579
2022-01-05,109,60,94,0.7660000026226044
2022-01-05,109,60,97,1.2349999696016312
2022-01-05,109,60,121,10.271000176668167
2022-01-05,109,60,154,0.1299999952316284
2022-01-05,109,60,174,38.38799968361855
2022-01-05,109,60,184,3.668000042438507
2022-01-05,109,60,189,1.7049999982118609
2022-01-05,109,60,219,0.1000000014901161
2022-01-05,213,60,184,2.370000004768372
2022-01-05,213,60,219,2.0000000298023224
2022-01-06,1,10,94,130.6999990940094
2022-01-06,1,10,95,2.0
2022-01-06,1,10,121,4.039999961853027
2022-01-06,1,10,189,6.150000095367432
2022-01-06,1,60,71,12.171000003814695
2022-01-06,1,60,94,153.36400175094604
2022-01-06,1,60,95,3.0
2022-01-06,1,60,97,1.2640000581741333
2022-01-06,1,60,104,10.599999904632568
2022-01-06,1,60,121,41.30499958992005
2022-01-06,1,60,122,1.2000000476837158
2022-01-06,1,60,152,3.378999948501587
2022-01-06,1,60,154,0.6980000138282776
2022-01-06,1,60,174,133.43199679255486
2022-01-06,1,60,184,5.949000015854836
2022-01-06,1,60,189,21.19800043106079
2022-01-06,1,60,219,1.0740000009536743
2022-01-06,17,10,71,0.8600000143051147
2022-01-06,17,60,71,0.3000000119209289
2022-01-06,109,10,71,1.5000000596046448
2022-01-06,109,10,73,1.2999999523162842
2022-01-06,109,10,94,0.2399999946355819
2022-01-06,109,10,104,8.720000118017197
2022-01-06,109,10,174,8.04999989271164
2022-01-06,109,60,94,0.3149999976158142
2022-01-06,109,60,97,9.13899977505207
2022-01-06,109,60,121,10.489000022411346
2022-01-06,109,60,174,23.149999856948853
2022-01-06,109,60,184,4.331000059843063
2022-01-06,109,60,189,0.4699999988079071
2022-01-06,109,60,219,0.1000000014901161
2022-01-06,213,60,184,3.8770000338554382
2022-01-06,213,60,219,1.100000016391277
2022-01-07,1,10,71,4.679999828338623
2022-01-07,1,10,94,47.33999991416931
2022-01-07,1,10,121,4.039999961853027
2022-01-07,1,10,189,4.920000076293945
2022-01-07,1,60,71,13.844999313354492
2022-01-07,1,60,94,125.3639988899231
2022-01-07,1,60,97,0.6320000290870667
2022-01-07,1,60,104,19.01699924468994
2022-01-07,1,60,121,29.2160005569458
2022-01-07,1,60,152,5.378999948501587
2022-01-07,1,60,174,76.97899854183197
2022-01-07,1,60,184,0.3770000040531158
2022-01-07,1,60,189,12.550000190734863
2022-01-07,1,60,219,6.074000000953674
2022-01-07,109,10,71,1.2000000476837158
2022-01-07,109,10,73,1.2999999523162842
2022-01-07,109,10,94,0.4799999892711639
2022-01-07,109,10,104,15.190000295639038
2022-01-07,109,10,174,2.559999942779541
2022-01-07,109,10,184,0.2000000029802322
2022-01-07,109,60,94,0.3149999976158142
2022-01-07,109,60,97,8.891999781131744
2022-01-07,109,60,121,12.103999823331833
2022-01-07,109,60,154,0.1299999952316284
2022-01-07,109,60,174,14.909000031650066
2022-01-07,109,60,184,4.162000060081482
2022-01-07,109,60,189,0.4699999988079071
2022-01-07,109,60,219,1.700000025331974
2022-01-07,213,60,184,0.8429999947547913
2022-01-07,213,60,189,0.3000000119209289
2022-01-07,213,60,219,1.9000000283122065
2022-01-08,1,10,71,3.119999885559082
2022-01-08,1,10,94,84.74000000953674
2022-01-08,1,10,95,2.0
2022-01-08,1,10,174,1.2999999523162842
2022-01-08,1,10,189,8.610000133514404
2022-01-08,1,60,71,3.671000003814697
2022-01-08,1,60,73,0.5400000214576721
2022-01-08,1,60,94,123.92799949645996
2022-01-08,1,60,95,1.5
2022-01-08,1,60,97,1.3720000386238098
2022-01-08,1,60,104,18.27299952507019
2022-01-08,1,60,121,25.824000358581543
2022-01-08,1,60,174,104.20699816942216
2022-01-08,1,60,183,1.3919999599456787
2022-01-08,1,60,184,0.3770000040531158
2022-01-08,1,60,189,20.896000623703003
2022-01-08,1,60,219,5.370000004768372
2022-01-08,17,60,71,0.6549999713897705
2022-01-08,109,10,71,1.2000000476837158
2022-01-08,109,10,73,1.559999942779541
2022-01-08,109,10,104,16.64000031352043
2022-01-08,109,10,174,1.659999966621399
2022-01-08,109,10,189,0.25
2022-01-08,109,60,71,0.3000000119209289
2022-01-08,109,60,73,0.1000000014901161
2022-01-08,109,60,94,0.3579999953508377
2022-01-08,109,60,95,0.2000000029802322
2022-01-08,109,60,97,7.903999805450439
2022-01-08,109,60,121,14.154999792575836
2022-01-08,109,60,154,0.1299999952316284
