"","install_id","payout_date","Payout_price"
"1","8912076a49c7b17960f8d262dc37599f86cbb3da8912b6a45ffc0c8b7b7248e6",2022-12-21,0.254376
"2","7488c7b0f3d25cea61e435ea2aa346d3bbf1b946b94b1fd76ccf8afbf8d2c187",2022-12-28,0.361216
"3","66ee0cd1d490d9d352b46b443c9d5b5aa5bdabfbdb303b57c94fa5ee2143b482",2022-12-10,0.359006
"4","66ee0cd1d490d9d352b46b443c9d5b5aa5bdabfbdb303b57c94fa5ee2143b482",2022-12-10,0.253416
"5","b471322de9a2f2f164f0d5a8016cb6d4be41e9bde7e2d2c1385359ebe533cf64",2022-12-10,3.558383
"6","66ee0cd1d490d9d352b46b443c9d5b5aa5bdabfbdb303b57c94fa5ee2143b482",2022-12-10,0.506832
"7","b471322de9a2f2f164f0d5a8016cb6d4be41e9bde7e2d2c1385359ebe533cf64",2022-12-10,0.359006
"8","af81e3ac1841ab9493640a559c44821d4bd1f1a610262e1070d7a9d06ec56b70",2022-12-05,0.706046
"9","af81e3ac1841ab9493640a559c44821d4bd1f1a610262e1070d7a9d06ec56b70",2022-12-05,0.358292
"10","5d1ce288f9dbc98745bb235b3ffd32a0cf906fcdb52e7b8ee6cd4007a5abd53d",2022-12-05,0.358292
"11","fc935aac3c759613b4fa2745dd6233cd5e3f38760f4aa7d04cc1492359069f7e",2022-12-21,0.360332
"12","0dda77fd6a09b29841a3c81f8a581f23185345611f6834abdff9673a753199a0",2022-12-21,0.710133
"13","0dda77fd6a09b29841a3c81f8a581f23185345611f6834abdff9673a753199a0",2022-12-21,0.360366
"14","f4cd839669220bdad4a5e9a166d424ec02c45d4ede3bb69fd3d4cbd0bdf333b4",2022-12-21,0.360366
"15","28709091d1d8e53de654356cbabbc1a34bea7669eb4fa53f04fa19182ff7d550",2022-12-10,5.2795
"16","af81e3ac1841ab9493640a559c44821d4bd1f1a610262e1070d7a9d06ec56b70",2022-12-04,0.706046
"17","af81e3ac1841ab9493640a559c44821d4bd1f1a610262e1070d7a9d06ec56b70",2022-12-04,0.358292
"18","93621ec3e8c9137b2725b618b93658dc4433011beab060b5959334e55a5c2351",2022-12-21,10.714578
"19","053aa23e5f7afaa908a7ff7a22ae4347a7bd7818ce67a8431af858ad1f74b705",2022-11-20,6.99705
"20","053aa23e5f7afaa908a7ff7a22ae4347a7bd7818ce67a8431af858ad1f74b705",2022-11-20,1.751854
"21","7ab4ccd84036a2bf8b83c1fa3caaf993bf601c52a5237f23549f32316a866722",2022-12-01,0.694522
"22","225d4bda1aefa614cd68caf4e9a35d968c31942a68dcc369c7e2781b873a2d5d",2022-12-05,0.26345
"23","8e967e048401fefcc889dc159f1ac52de84af51e856ec5342e379b29c8154bf3",2022-11-18,0.350846
"24","c25bb7578e946df16a489a40caca8f89e3a1ca4e8a2b1ab10286e7753078603a",2022-11-18,1.743911
"25","c25bb7578e946df16a489a40caca8f89e3a1ca4e8a2b1ab10286e7753078603a",2022-11-18,0.691373
"26","e298ce0520a62bf8fced3ac8fb7f91f1929727c732e97eea15a6823d72cc34cb",2022-11-18,0.350846
"27","0fca4bb2a126ff34a55f1f5530a19d41eadbe4f5aad90f0a316eed81c0566dc9",2022-11-18,0.350846
"28","3b249a09bb9da733c8dd3434670dc71e1f4020d25b33aa7129024d57df1e47f9",2022-11-18,0.350846
"29","9b085b62050a1b84de692696fc74dde43431c57a62cd24b00f3307b497d7be4c",2022-11-18,0.350846
"30","5e2572afda274f375e9c1c8e4886cc7c93e178ebb0474ffd096741098b604a57",2022-12-13,3.559394
"31","128a3a7a832449d7e233133067784dc2e3c75a17964eac9c3d83e27561a65681",2022-12-13,0.359108
"32","becdd77e9b588d2b5f716d248caa001d45e0e687efbb99a57cd553da60d03639",2022-12-05,7.11315
"33","6a8972db0a644d2b947807c7153f6566ea06fc58f1ab077fdd5c2c381775c4b8",2022-12-05,0.706046
"34","6a8972db0a644d2b947807c7153f6566ea06fc58f1ab077fdd5c2c381775c4b8",2022-12-28,1.795118
"35","f6ad0a20ecfc5a4ef975ffb58c547cdb6ef457c00840c818022aacf5292fd92c",2022-12-28,0.254928
"36","b82d082688389b30bf68b8f67166b79ceeb8df09cf40ce20d24d5cb6114eb219",2022-11-26,0.342375
"37","6a8972db0a644d2b947807c7153f6566ea06fc58f1ab077fdd5c2c381775c4b8",2022-11-26,0.35275
"38","9cf068971e7a5a545f3ddc22922d7f246aaa5d28fddbb64104567f910c355ad4",2022-12-02,0.695192
"39","9b085b62050a1b84de692696fc74dde43431c57a62cd24b00f3307b497d7be4c",2022-11-19,0.352444
"40","b471322de9a2f2f164f0d5a8016cb6d4be41e9bde7e2d2c1385359ebe533cf64",2022-12-01,0.352784
"41","b7f2d0daf2eef9fb6a7a552864b864d0f8dd63d1af3789d5cf718ecf6ba3316e",2022-12-21,0.360366
"42","a057e368cb9eee98a00b8b6427c05a899477e3d742717f243f026cc7499cb88c",2022-12-22,0.712612
"43","98c3a1b762ab03887f660fafedb9b697b7f8b08efbc57972bc251295f58faa7c",2022-12-20,0.710066
"44","a07b868b7457e422ed9d2e4365c611e423c90e9f36f083435474f540a9c46456",2022-12-09,0.357646
"45","a07b868b7457e422ed9d2e4365c611e423c90e9f36f083435474f540a9c46456",2022-12-09,0.252456
"46","a07b868b7457e422ed9d2e4365c611e423c90e9f36f083435474f540a9c46456",2022-12-09,0.504912
"47","9f25e17ef3f758fa6a14d2700f410b761dfa7983481c1d6e6864cf659dad32c6",2022-12-13,3.559394
